Rank,State/UT,crimeRate
1,Lakshadweep,128
2,Ladakh,559
3,D&N Haveli and Daman & Diu,579
4,Sikkim,728
5,A&N Islands,1332
6,Nagaland,1478
7,Goa,2991
8,Chandigarh,2995
9,Arunachal Pradesh,3039
10,Mizoram,3196
11,Manipur,3204
12,Meghalaya,3428
13,Puducherry,4595
14,Tripura,4788
15,Himachal Pradesh,18833
16,Jammu and Kashmir,31675
17,Uttarakhand,34875
18,Jharkhand,60765
19,Punjab,73581
20,Chhattisgarh,110633
21,Assam,133239
22,Odisha,155420
23,Telangana,158809
24,Karnataka,163697
25,West Bengal,181821
26,Haryana,206431
27,Andhra Pradesh,222199
28,Bihar,282083
29,Rajasthan,284569
30,Delhi,306389
31,Madhya Pradesh,475918
32,Kerala,524960
33,Maharashtra,540800
34,Uttar Pradesh,608082
35,Gujarat,731738
36,Tamil Nadu,756753
